,Run,Burden,aod,SW_F,F,aod_per_burden,SW_F_per_aod,F_per_SW_F,burden_rel,aod_per_burden_rel,SW_F_per_aod_rel,F_per_SW_F_rel
0,u-dg683,6.659833502453694e-07,0.003999274139382422,-0.38611883204120345,-0.3096146215881327,6005.066249642671,-96.54722796793043,0.8018635608922933,0.08430391111446776,0.28007613168068834,4.452028539990748,1.2552741819272963
1,u-df777,7.986959644767921e-07,0.008220663209535658,-0.5247596015915733,-0.41667327740475457,10292.606417412951,-63.83421729074998,0.7940269718572132,0.10110341883461187,0.48004689215083723,2.9435517019793496,1.2430064242065637
2,u-de348,1.7255783859582152e-06,0.03822283500410912,-1.2374150390033138,-0.939176515249484,22150.738161271038,-32.3737116535256,0.7589826255917751,0.21843339899904593,1.0331098442835258,1.4928309311459624,1.188146389114592
3,u-de517,3.5504460811353056e-06,0.09071469733096955,-2.278959328279731,-1.6078623614354166,25550.225311959177,-25.122272303516855,0.7055248162981079,0.44943539614085476,1.1916618354325983,1.1584493479380593,1.104461070188188
4,u-de349,4.699613327829866e-06,0.12431900008497436,-2.922031544637353,-2.034988123393463,26453.027390315317,-23.50430378815861,0.6964292110836952,0.5949034373243204,1.233768500582932,1.083840867106543,1.0902223905031423
5,u-de350,6.601674613193609e-06,0.1602879022953689,-3.344881722364165,-2.1916741459089746,24279.88528471694,-20.86796117775887,0.6552321809334106,0.8356770324547345,1.1324132100289541,0.962272668933189,1.0257306604360132
6,u-de365,7.8997918535606e-06,0.16937813713131147,-3.6731547139709244,-2.346394884128693,21440.835438590602,-21.68612063033429,0.6387955495596547,1.0,1.0,1.0,1.0
7,u-de110,8.139228953041311e-07,0.011444185465353708,-0.5284225482223341,-0.41708367247121536,14060.527761757414,-46.17388889948421,0.7892995366574084,0.10303092921837922,0.6557826443856924,2.129190816862686,1.2356058792230185
8,u-de636,1.0171103212996968e-06,0.016920392006415107,-0.6325644639082711,-0.4980483012787431,16635.748996031893,-37.38474047577881,0.7873478984285238,0.12875153423710323,0.7758908949084043,1.7239017117467048,1.2325506947743636
9,u-de111,2.05270953301806e-06,0.04665549898125528,-1.3535482915242558,-0.984806987340821,22728.738884287533,-29.011548929485656,0.7275743270539772,0.259843496014754,1.0600677827776654,1.3377933944028995,1.138978390747276
10,u-de505,3.6141439068160253e-06,0.09075437788146534,-2.064566725008194,-1.4212775371014144,25110.89215631643,-22.748949121823443,0.6884144357677631,0.4574986244969297,1.1711713486275923,1.0490096181611424,1.077675691764466
11,u-de145,4.272289061191259e-06,0.10661889169591465,-2.38323231266191,-1.607569697740126,24955.917113479605,-22.352814541151613,0.6745333592529965,0.5408103327767616,1.163943316712479,1.0307428849162057,1.0559456147087707
12,u-de187,6.190599378896877e-06,0.1451153388021171,-3.027773490974477,-1.9659368622300424,23441.24210279226,-20.86459995178886,0.6493011673727659,0.7836408216384392,1.0932989141179266,0.9621176745924628,1.0164459784047544
13,u-de369,7.295594969036756e-06,0.15620538645960688,-3.165724161569447,-2.0422710297605957,21410.918111896062,-20.266421237580506,0.6451197026427326,0.9235173665681432,0.9986046566711345,0.9345341927699172,1.0099001207623275
14,u-dd987,9.734288823892712e-07,0.015531133154807466,-0.5638042629613689,-0.44859140417111754,15955.077392697101,-36.301553617602615,0.7956509619400561,0.12322209248469332,0.7441443892610696,1.6739533195635012,1.245548693143726
15,u-de593,1.243195470124192e-06,0.02528589024124342,-0.724560241910323,-0.5620687613654367,20339.43241340593,-28.654725421868047,0.7757377908060853,0.15737066155279245,0.9486305919216984,1.3213393907708026,1.2143756971081436
