,Run_ID,Injection_latitude,Injection_altitude,Seasonal,Seasonality,aerDirectForcing_SW,aerDirectForcing_LW,aerDirectForcing,Delta_aerDirectForcing_SW,Delta_aerDirectForcing_LW,Delta_aerDirectForcing,Delta_rsdscs,Cooling
0,u-dg683,30.625,12.3,No,,-2.850945234298706,0.5424762964248657,-2.3084685802459717,-0.3861198685773588,0.07650440526776064,-0.309615107757919,-0.3374504462551897,0.10678811590354105
1,u-df777,30.625,12.9,No,,-2.9895853996276855,0.5740583539009094,-2.415527582168579,-0.5247600339063383,0.10808646274380435,-0.4166741096805264,-0.7151359931301897,0.22630885858550306
2,u-de348,30.625,14.1,No,,-3.7022414207458496,0.7642107009887695,-2.938030958175659,-1.2374160550245024,0.29823880983166445,-0.9391774856876065,-1.6695579902005022,0.5283411361393994
3,u-de517,30.625,15.4,No,,-4.743786334991455,1.1370692253112793,-3.606717109680176,-2.278960969270108,0.6710973341541742,-1.607863637192123,-2.988375128872377,0.9456883319216384
4,u-de349,30.625,16.0,No,,-5.3868584632873535,1.3530157804489136,-4.033843517303467,-2.9220330975660063,0.8870438892918084,-2.034990044815414,-3.5604423896145647,1.1267222751944825
5,u-de350,30.625,18.0,No,,-5.809709072113037,1.6191802024841309,-4.190528869628906,-3.34488370639169,1.1532083113270257,-2.1916753971408536,-4.326235236294252,1.3690617836374215
6,u-de365,30.625,20.2,No,,-6.1379828453063965,1.7927322387695312,-4.345250129699707,-3.6731574795850492,1.3267603476124261,-2.3463966572116544,-5.022280158169252,1.5893291639776115
7,u-de110,40.625,12.3,No,,-2.99324893951416,0.5773109793663025,-2.415937900543213,-0.5284235737928129,0.11133908820919741,-0.4170844280551602,-0.8696007148098772,0.27519009962337887
8,u-de636,40.625,12.9,No,,-3.097391128540039,0.6004882454872131,-2.4969024658203125,-0.6325657628186918,0.13451635433010806,-0.4980489933322598,-1.0572533027005022,0.33457382996851337
9,u-de111,40.625,14.1,No,,-3.8183751106262207,0.8347135186195374,-2.983661651611328,-1.3535497449048735,0.3687416274624323,-0.9848081791232755,-1.7589287177395647,0.5566230119429002
10,u-de505,40.625,15.4,No,,-4.529393196105957,1.1092615127563477,-3.4201321601867676,-2.06456783038461,0.6432896215992425,-1.421278687698715,-2.768465460903627,0.8760966648429199
11,u-de145,40.625,16.0,No,,-4.84805965423584,1.2416349649429321,-3.606424570083618,-2.3832342885144926,0.775663073785827,-1.6075710975955655,-3.212374152309877,1.0165740988322396
12,u-de187,40.625,18.0,No,,-5.492600917816162,1.5278089046478271,-3.964791774749756,-3.027775552094815,1.061837013490722,-1.9659383022617032,-4.117632331020815,1.3030482060192452
13,u-de369,40.625,20.2,No,,-5.630551338195801,1.5894255638122559,-4.041126251220703,-3.1657259724744535,1.1234536726551507,-2.0422727787326505,-4.460466803677065,1.4115401277459065
14,u-dd987,50.625,12.3,No,,-3.028630495071411,0.5811849236488342,-2.4474456310272217,-0.5638051293500639,0.11521303249172915,-0.448592158539169,-0.9016899482083147,0.2853449203190869
15,u-de593,50.625,12.9,No,,-3.1893868446350098,0.628463625907898,-2.5609230995178223,-0.7245614789136625,0.16249173475079287,-0.5620696270297696,-1.3649620429348772,0.4319500135869864
16,u-dd989,50.625,14.1,No,,-3.55155086517334,0.7785510420799255,-2.7730002403259277,-1.0867254994519926,0.31257915092282046,-0.7741467678378751,-1.3947319403958147,0.44137086721386537
17,u-de506,50.625,15.4,No,,-4.14292573928833,0.9967617392539978,-3.1461641788482666,-1.6781003735669828,0.5307898480968927,-1.147310706360214,-2.346834601528627,0.7426691776989326
18,u-de012,50.625,16.0,No,,-4.3006744384765625,1.0602469444274902,-3.240427255630493,-1.8358490727552152,0.5942750532703851,-1.2415737831424405,-2.7116875068020647,0.8581289578487546
19,u-de013,50.625,18.0,No,,-4.778004169464111,1.2609262466430664,-3.517077684402466,-2.313178803742764,0.7949543554859613,-1.5182242119144131,-3.215731085903627,1.0176364195897554
20,u-de399,50.625,20.2,No,,-5.324160575866699,1.479613184928894,-3.8445470333099365,-2.859335210145352,1.013641293771789,-1.8456935608218838,-4.013796271450502,1.2701886934969944
21,u-de018,60.625,12.3,No,,-3.0429446697235107,0.6113961338996887,-2.431548595428467,-0.5781193040021635,0.14542424274258364,-0.4326951229404141,-1.0370354071926897,0.3281757617698385
22,u-de567,60.625,12.9,No,,-3.228668689727783,0.634760856628418,-2.5939078330993652,-0.763843324006436,0.1687889654713129,-0.5950543606113126,-1.5035576239895647,0.475809374680242
23,u-de026,60.625,14.1,No,,-3.4740474224090576,0.7373331189155579,-2.7367138862609863,-1.0092220566877104,0.2713612277584528,-0.7378604137729337,-1.8946709052395647,0.5995794003922673
24,u-de633,60.625,15.4,No,,-3.7629520893096924,0.8684591054916382,-2.8944931030273438,-1.2981267235883451,0.4024872143345331,-0.8956396305392911,-2.1577324286770647,0.68282671793578
25,u-de050,60.625,16.0,No,,-3.999433994293213,0.9576753973960876,-3.0417587757110596,-1.5346086285718656,0.49170350623898257,-1.042905303223007,-2.152895392544252,0.6812960102988139
26,u-de052,60.625,18.0,No,,-4.330389976501465,1.1208900213241577,-3.209500312805176,-1.8655646107801176,0.6549181301670526,-1.210646840317123,-2.583620490200502,0.817601420949526
27,u-de457,60.625,20.2,No,,-4.682185649871826,1.2480398416519165,-3.4341461658477783,-2.217360284150479,0.7820679504948114,-1.4352926933597256,-3.283022345669252,1.0389311220472317
