,Run_ID,Injection_latitude,Injection_altitude,sAOD,delta_sAOD,sAOD at inj lat,delta_sAOD at inj lat,AOD,delta_AOD,AOD at inj lat,delta_AOD at inj lat
1,u-df777,30.625,12.899999618530273,0.005954485386610031,0.003467188000679001,0.006293142680078745,0.004123547580093145,0.13609442114830017,0.008220670660116253,0.15275682508945465,0.010366901755332947
2,u-de348,30.625,14.100000381469727,0.0202233474701643,0.01773605008423327,0.023750534281134605,0.021580939181149006,0.16609658300876617,0.038222832520582256,0.18830354511737823,0.04591362178325653
3,u-de517,30.625,15.399998664855957,0.06361018121242523,0.0611228838264942,0.06820687651634216,0.06603728141635656,0.2185884565114975,0.09071470602331358,0.23799318075180054,0.09560325741767883
4,u-de349,30.625,16.0,0.09579247236251831,0.09330517497658727,0.10152581334114075,0.09935621824115515,0.25219273567199707,0.12431898518381315,0.2750176787376404,0.13262775540351868
5,u-de350,30.625,18.0,0.14353032410144806,0.14104302671551702,0.14176009595394135,0.13959050085395575,0.28816166520118713,0.16028791471300322,0.3010600209236145,0.1586700975894928
6,u-de365,30.625,20.200000762939453,0.15780621767044067,0.15531892028450964,0.17466585338115692,0.17249625828117132,0.2972518503665924,0.1693780998784085,0.32338014245033264,0.18099021911621094
7,u-de110,40.625,12.300000190734863,0.007153666112571955,0.004666368726640925,0.00895043183118105,0.006160956807434559,0.13931792974472046,0.01144417925653654,0.14401555061340332,0.02306610345840454
8,u-de636,40.625,12.899999618530273,0.009670067578554153,0.007182770192623124,0.013436326757073402,0.010646851733326912,0.14479413628578186,0.016920385797597942,0.1550007462501526,0.03405129909515381
9,u-de111,40.625,14.100000381469727,0.03005552850663662,0.02756823112070559,0.04205596446990967,0.03926648944616318,0.17452922463417053,0.046655474145986614,0.18903028964996338,0.0680808424949646
10,u-de505,40.625,15.399998664855957,0.06882713735103607,0.06633983996510504,0.09089098125696182,0.08810150623321533,0.2186281532049179,0.09075440271673399,0.24369409680366516,0.12274464964866638
11,u-de145,40.625,16.0,0.08708490431308746,0.08459760692715643,0.11651916056871414,0.11372968554496765,0.23449262976646423,0.10661887927828032,0.2617690861225128,0.14081963896751404
12,u-de187,40.625,18.0,0.13052085041999817,0.12803355303406713,0.18146692216396332,0.17867744714021683,0.27298906445503235,0.14511531396684843,0.3238563537597656,0.20290690660476685
